,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop,Adobe Photoshop
1,Web-дизайн,Web-дизайн,Web-дизайн,Web-дизайн,UI,UX,Adobe Illustrator,Графический дизайн,Графический дизайн
2,UI,Графический дизайн,Графический дизайн,UI,UX,UI,Графический дизайн,Adobe Illustrator,Adobe Illustrator
3,Графический дизайн,Веб-дизайн,UI,UX,Web-дизайн,Web-дизайн,UX,Figma,Figma
4,Веб-дизайн,UI,Веб-дизайн,Графический дизайн,Графический дизайн,Adobe Illustrator,UI,UX,Дизайн
5,UX,Adobe Illustrator,UX,Adobe Illustrator,Adobe Illustrator,Графический дизайн,Figma,UI,CorelDRAW
6,Дизайн,UX,Adobe Illustrator,Веб-дизайн,Веб-дизайн,Веб-дизайн,Web-дизайн,CorelDRAW,UX
7,Дизайн интерфейсов,Дизайн интерфейсов,Дизайн интерфейсов,Дизайн интерфейсов,Дизайн интерфейсов,Дизайн интерфейсов,Дизайн,Дизайн,UI
8,Adobe Illustrator,Дизайн,Дизайн,Дизайн,Дизайн,Дизайн,CorelDRAW,Креативность,Креативность
9,CSS,HTML,HTML,HTML,HTML,Проектирование пользовательских интерфейсов,Креативность,Adobe InDesign,Web-дизайн
10,HTML5,Web Design,Web Design,Web Design,CSS,HTML,Веб-дизайн,Web-дизайн,Графические редакторы
11,Web Design,CSS,CSS,CSS,Web Design,CSS,Дизайн интерфейсов,Веб-дизайн,Adobe InDesign
12,HTML,CorelDRAW,JavaScript,JavaScript,Проектирование пользовательских интерфейсов,Figma,Adobe InDesign,Дизайн интерфейсов,Веб-дизайн
13,CorelDRAW,JavaScript,CorelDRAW,Проектирование пользовательских интерфейсов,JavaScript,Web Design,Английский язык,Графические редакторы,Дизайн интерфейсов
14,CSS3,Проектирование пользовательских интерфейсов,Проектирование пользовательских интерфейсов,CorelDRAW,CorelDRAW,Креативность,Проектирование пользовательских интерфейсов,Английский язык,Полиграфический дизайн
15,Usability,HTML5,HTML5,Usability,Английский язык,JavaScript,HTML,Adobe After Effect,Верстка
16,JavaScript,Английский язык,Usability,HTML5,HTML5,CorelDRAW,Adobe After Effect,Работа в команде,Дизайн полиграфии
17,Креативность,Работа в команде,Прототипирование,Управление проектами,Креативность,Английский язык,Графические редакторы,Проектирование пользовательских интерфейсов,Работа в команде
18,Веб-программирование,jQuery,CSS3,Прототипирование,Прототипирование,Git,CSS,UI/UX,UI/UX
19,PHP,Usability,Управление проектами,Git,Git,SQL,Web Design,Верстка,Adobe After Effect
